,FSC-A,SSC-A,FL1-A,FL2-A,FL3-A,FL4-A,FSC-H,SSC-H,FL1-H,FL2-H,Width,Time,species
2158,4515.0,2473.0,60388.0,8616.0,3561.0,293.0,36273.984375,4667.99951171875,61157.0078125,8681.0,65.0,215.0,1
2159,33970.0,8299.0,193874.0,26830.0,8598.0,0.0,60422.02734375,10391.99609375,162919.953125,21938.0,89.0,281.0,1
2160,8509.0,4448.0,103424.0,14226.0,3094.0,0.0,32703.00390625,8070.99658203125,102166.046875,13784.0,67.0,340.0,1
2161,6637.0,1108.0,9943.0,1789.0,1489.0,161.0,22410.9921875,2458.99951171875,10122.00390625,1509.0,39.0,344.0,6
2162,6852.0,7656.0,174512.0,24258.0,8367.0,98.0,19499.99609375,9938.9951171875,157442.03125,22077.0,73.0,179.0,1
2163,8529.0,1253.0,25483.0,3375.0,1396.0,453.0,24048.001953125,2347.000244140625,27228.9921875,3630.0,56.0,160.0,1
2164,11072.0,2164.0,12462.0,1659.0,589.0,275.0,28535.00390625,3946.0009765625,13172.00390625,1676.0,39.0,350.0,1
2165,5938.0,1488.0,25172.0,3552.0,917.0,475.0,22172.99609375,2524.999755859375,25889.01171875,3673.0,46.0,512.0,1
2166,3665.0,378.0,38614.0,5619.0,1962.0,0.0,17187.00390625,2560.0,40344.015625,5279.0,63.0,158.0,6
2167,15035.0,3736.0,81499.0,11782.0,2860.0,552.0,46037.98828125,7748.0009765625,80325.9921875,11769.0,70.0,251.0,1
2168,13006.0,5847.0,118744.0,15110.0,5701.0,53.0,25802.00390625,7260.99853515625,104041.0,12940.0,71.0,222.0,1
2169,50198.0,22496.0,129576.0,16577.0,6455.0,400.0,119739.9453125,34662.98828125,129410.9921875,16058.0,67.0,498.0,1
2170,7948.0,2158.0,21719.0,2834.0,1899.0,334.0,14937.99609375,3181.999755859375,21418.005859375,2931.0,61.0,230.0,1
2171,16334.0,4951.0,145989.0,20732.0,6462.0,204.0,45670.00390625,7189.00244140625,145418.984375,20820.0,70.0,273.0,1
2172,10270.0,5300.0,62943.0,7971.0,3627.0,168.0,27945.990234375,6478.001953125,51049.0078125,6297.0,65.0,437.0,1
2173,10863.0,3537.0,4992.0,752.0,438.0,455.0,24518.00390625,5691.99853515625,5696.0009765625,738.0,32.0,595.0,6
2174,19179.0,3754.0,19017.0,2691.0,1051.0,406.0,58149.98046875,7379.0009765625,19125.001953125,2121.0,53.0,522.0,1
2175,28426.0,4447.0,323287.0,48313.0,13555.0,411.0,68737.0,4365.001953125,293957.875,44705.0,89.0,491.0,1
2176,16827.0,8362.0,195135.0,27360.0,8015.0,0.0,47547.9765625,14108.9951171875,188717.046875,26680.0,70.0,281.0,1
2177,8966.0,0.0,12796.0,1684.0,779.0,13.0,18056.0078125,899.0,12942.005859375,1684.0,39.0,449.0,6
2178,8045.0,0.0,93742.0,12940.0,3027.0,118.0,30545.0,2461.000732421875,93540.9921875,12808.0,66.0,224.0,6
2179,0.0,0.0,6144.0,2009.0,1328.0,51.0,4686.0009765625,685.9999389648438,6564.001953125,2102.0,35.0,310.0,6
2180,22000.0,5206.0,21877.0,2887.0,1296.0,181.0,55118.0234375,10084.00390625,23099.0078125,2824.0,47.0,445.0,1
2181,11634.0,3359.0,147129.0,20161.0,6487.0,76.0,32082.001953125,5778.001953125,140816.0625,19369.0,70.0,336.0,1
2182,8558.0,0.0,8707.0,1020.0,1428.0,246.0,39183.9921875,1914.99951171875,8367.9970703125,1111.0,51.0,330.0,6
2183,5794.0,3758.0,6797.0,1179.0,1063.0,0.0,19082.005859375,9350.0009765625,7335.00244140625,828.0,47.0,551.0,1
2184,4129.0,3113.0,41950.0,5464.0,1698.0,35.0,22138.998046875,5615.99853515625,44700.00390625,5810.0,62.0,196.0,1
2185,9485.0,3588.0,16824.0,2445.0,1282.0,257.0,29049.0078125,7073.99755859375,16669.005859375,2500.0,43.0,309.0,1
2186,12434.0,935.0,63758.0,8479.0,2990.0,383.0,36420.9921875,3651.99951171875,65560.9765625,8588.0,65.0,442.0,1
2187,8328.0,2683.0,43563.0,5959.0,2344.0,540.0,35089.015625,4778.99853515625,46179.9765625,5775.0,64.0,353.0,1
2188,29744.0,6473.0,58079.0,8777.0,2685.0,421.0,71262.0,7879.00341796875,54533.9921875,8098.0,80.0,168.0,1
2189,12531.0,1528.0,8896.0,1403.0,676.0,167.0,33173.015625,2698.998779296875,9090.00390625,1262.0,49.0,594.0,6
2190,9614.0,6419.0,17563.0,2177.0,1072.0,0.0,32962.984375,10384.001953125,15984.0029296875,1905.0,47.0,510.0,1
2191,5568.0,1002.0,11059.0,1735.0,1181.0,60.0,22486.0078125,2492.0009765625,10659.99609375,1725.0,40.0,412.0,6
